date | value
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2009-01-04 | 99
2009-02-29 | 10
2009-03-10 | -2147483649
2009-05-03 | 772.63
2009-08-31 | 3.40282347e+39
2009-09-06 | 24
2009-10-29 | -3.40282347e+39
2010-05-06 | 41.8
2010-08-04 | 990.52                                 
2011-03-25 | 71.32
1975-05-15 | 10
2011-02-29 | 58
2011-13-02 | 35.1
2012-06-09 | 9
2013-02-28 | 1001
2110-01-03 | 3
2015-08-02 | 89
2015-08-21 | 98.2.3
2016-03-05 | 0.72e+2
2017-06-12 | 2.47e++2
2017-06-28 | 15
2017-09-17 | +81.63
2018-03-18 | -21.8
2018-03-22 | 14.88
2018-07-15 | 8.78
2018-12-23 | 
2019-05-29 | 3.65
2019-06-32 | 35
2020-07130 | 23
2021-05-03 | 52.17
2000-02-29 | 1
2014-10-25 | 01.39
2012-01-15 | 01.39
